App Name,Package Name,App MD5,Category,Red Packet Num,App Market
今日头条极速版,com.ss.android.article.lite,069756e99d1b2e496f381db16801aa52,news,4,Tencent
抖音极速版,com.ss.android.ugc.aweme.lite,31555e9c5a07260ed40606028326d56a,video,3,Tencent
真优惠,com.taobamai.zhenyouhui,2265b428a52806be1902a33c13f26e0d,shopping payment,1,Tencent
淘宝,com.taobao.taobao,56a128fe4aae083791d171d3f8c2b988,shopping payment,4,Tencent
特价,com.tejia.lijin,5df1701116a2ceb40843af262060d2c8,shopping payment,1,Tencent
水果消除动森会,com.tencent.tmgp.sgxc,0c53081d4475304ceef5fddd9003e911,leisure puzzle,1,Tencent
UC浏览器极速版,com.ucmobile.lite,207e9d8e84d96ff84e4515177c4ba126,browser,2,Tencent
兼客兼职,com.wodan.xianshijian,516d57a4fd70cfe2dcf80c07624a0938,comprehensive services,2,Tencent
步步挣,com.ww.bubuzheng,f137bc767783679eff09763d505ee916,sports and fitness,3,Tencent
喵钱罐,com.xiangchen.miaoqianguan,c8318d0fa8bbb4a721fb27bf32a7acfe,shopping payment,4,Tencent
实惠喵,com.xihu.shihuimiao,26da1778b8dd19e5b387ac94d7ae3d02,shopping payment,4,Tencent
Ximalaya Lite,com.ximalaya.ting.lite,3bd5af7abe75df1b5c7d13eb5f25da89,music,4,Tencent
番茄畅听,com.xs.fm,23f77d7bb950ee42340784d63224ce2d,music,4,Tencent
拼多多,com.xunmeng.pinduoduo,8ac4a1782117c6ccd04301c9fe9a4b6c,shopping payment,3,Tencent
每日红包短视频,com.xy.intact,63d92933acc435b61257a7735ae9224d,video,6,Tencent
辣椒极速版,com.yaojiu.lajiao,269651edcef9b2007ab7d7789c72c95d,video,2,Tencent
欢乐红包,com.yhfwork.RedEnvelope,a7765c15eb701b1dc2219a5e6581e054,system tools,1,Tencent
亿优惠,com.yiyouhui.uni,52ed7af3fc579fab7eaf189c053d1259,comprehensive services,1,Tencent
悦动圈,com.yuedong.sport,a703bfca39f3cd291613463a547a0ffa,sports and fitness,1,Tencent
开心消星星,com.yx.kxxxx2,ac8acb117e00a5a910295ee52fb5f3a7,leisure puzzle,1,Tencent
